date,ticker,open,high,low,close,volume
2025-01-02,AAPL,248.93,249.1,241.8201,243.85,55740731.0
2025-01-03,AAPL,243.36,244.18,241.89,243.36,40244114.0
2025-01-06,AAPL,244.31,247.33,243.2,245.0,45045571.0
2025-01-07,AAPL,242.98,245.55,241.35,242.21,40855960.0
2025-01-08,AAPL,241.92,243.7123,240.05,242.7,37628940.0
2025-01-10,AAPL,240.01,240.16,233.0,236.85,61710856.0
2025-01-13,AAPL,233.53,234.67,229.72,234.4,49630725.0
2025-01-14,AAPL,234.75,236.12,232.472,233.28,39435294.0
2025-01-15,AAPL,234.635,238.96,234.43,237.87,39831969.0
2025-01-16,AAPL,237.35,238.01,228.03,228.26,71759052.0
2025-01-17,AAPL,232.115,232.29,228.48,229.98,68488301.0
2025-01-21,AAPL,224.0,224.42,219.38,222.64,98070429.0
2025-01-22,AAPL,219.79,224.12,219.79,223.83,64126500.0
2025-01-23,AAPL,224.74,227.03,222.3,223.66,60234760.0
2025-01-24,AAPL,224.78,225.63,221.41,222.78,54697907.0
2025-01-27,AAPL,224.02,232.15,223.98,229.86,94863418.0
2025-01-28,AAPL,230.85,240.19,230.81,238.26,75707569.0
2025-01-29,AAPL,234.12,239.855,234.01,239.36,45486100.0
2025-01-30,AAPL,238.665,240.79,237.21,237.59,55658279.0
2025-01-31,AAPL,247.19,247.19,233.44,236.0,101075128.0
2025-02-03,AAPL,229.99,231.83,225.7,228.01,73063301.0
2025-02-04,AAPL,227.25,233.13,226.65,232.8,45067301.0
2025-02-05,AAPL,228.53,232.67,228.27,232.47,39664989.0
2025-02-06,AAPL,231.285,233.8,230.425,233.22,29925349.0
2025-02-07,AAPL,232.6,234.0,227.26,227.63,39707224.0
2025-02-10,AAPL,229.57,230.585,227.2,227.65,33115645.0
2025-02-11,AAPL,228.2,235.23,228.13,232.62,53718362.0
2025-02-12,AAPL,231.2,236.96,230.68,236.87,45243292.0
2025-02-13,AAPL,236.91,242.3399,235.57,241.53,53614054.0
2025-02-14,AAPL,241.25,245.55,240.99,244.6,40896227.0
2025-02-18,AAPL,244.15,245.18,241.84,244.47,48822491.0
2025-02-19,AAPL,244.66,246.01,243.1604,244.87,32204215.0
2025-02-20,AAPL,244.94,246.78,244.29,245.83,32316907.0
2025-02-21,AAPL,245.95,248.69,245.22,245.55,53197431.0
