date,ticker,open,high,low,close,volume,ret_1d,logret_1d,fwd_ret_5d,dollar_volume,adv_shares_20d,adv_dollars_20d,vol_21d,hl_range,sent_mean,sent_sum,sent_count
2025-01-03,AAPL,243.36,244.18,241.89,243.36,40244114.0,-0.002009432027885949,-0.002011453645079264,-0.036817882971729166,9793807583.04,,,,0.009409927679158494,0.2,1.0,5
2025-01-06,AAPL,244.31,247.33,243.2,245.0,45045571.0,0.006738987508218219,0.0067163820337450275,-0.0478367346938775,11036164895.0,,,,0.016857142857142886,0.25,1.0,4
2025-01-07,AAPL,242.98,245.55,241.35,242.21,40855960.0,-0.01138775510204082,-0.011453092086492589,-0.0179183353288469,9895722071.6,,,,0.01734032451178729,1.0,2.0,2
2025-01-08,AAPL,241.92,243.7123,240.05,242.7,37628940.0,0.0020230378597083654,0.0020209942743205644,-0.059497321796456504,9132543738.0,,,,0.015089822826534705,0.0,0.0,5
2025-01-10,AAPL,240.01,240.16,233.0,236.85,61710856.0,-0.02410383189122367,-0.024399083362794727,-0.029005699810006336,14616216243.6,,,,0.030230103440996272,0.0,0.0,2
2025-01-13,AAPL,233.53,234.67,229.72,234.4,49630725.0,-0.010344099641123039,-0.010397971666902706,-0.05017064846416386,11633441940.0,,,,0.021117747440272897,0.6666666666666666,2.0,3
2025-01-14,AAPL,234.75,236.12,232.472,233.28,39435294.0,-0.004778156996587013,-0.004789608882564522,-0.04050925925925919,9199465384.32,,,,0.015637860082304444,0.4,2.0,5
2025-01-15,AAPL,234.635,238.96,234.43,237.87,39831969.0,0.01967592592592604,0.01948485713212378,-0.059738512632950824,9474830466.03,,,,0.019044015638794223,0.25,1.0,4
2025-01-16,AAPL,237.35,238.01,228.03,228.26,71759052.0,-0.040400218606802096,-0.04123897582696312,-0.02400771050556383,16379721209.519999,,,,0.04372207132217623,0.2857142857142857,2.0,7
2025-01-17,AAPL,232.115,232.29,228.48,229.98,68488301.0,0.00753526680101646,0.007507018495064521,-0.0005217845030001111,15750939463.98,,,,0.016566657970258223,0.6666666666666666,2.0,3
2025-01-21,AAPL,224.0,224.42,219.38,222.64,98070429.0,-0.031915818766849346,-0.03243623140288321,0.07015810276679835,21834400312.559998,,,,0.02263744160977349,0.2,1.0,5
2025-01-22,AAPL,219.79,224.12,219.79,223.83,64126500.0,0.005344951491196737,0.005330717933897056,0.06938301389447354,14353434495.0,,,,0.019345038645400495,0.0,0.0,5
2025-01-23,AAPL,224.74,227.03,222.3,223.66,60234760.0,-0.0007595049814592691,-0.0007597935514898069,0.06228203523204878,13472106421.6,,,,0.021148171331485152,0.8,4.0,5
2025-01-24,AAPL,224.78,225.63,221.41,222.78,54697907.0,-0.003934543503532173,-0.0039423041829991234,0.05934105395457401,12185599721.460001,,,,0.018942454439357125,1.0,1.0,1
2025-01-27,AAPL,224.02,232.15,223.98,229.86,94863418.0,0.0317802316186373,0.03128569052356944,-0.008048377273122909,21805305261.48,,,,0.03554337422779074,0.1428571428571428,1.0,7
2025-01-28,AAPL,230.85,240.19,230.81,238.26,75707569.0,0.03654398329417896,0.03589208643060182,-0.02291614202971537,18038085389.94,,,,0.03936875682028018,-0.2,-1.0,5
2025-01-29,AAPL,234.12,239.855,234.01,239.36,45486100.0,0.004616805170821969,0.00460618041489802,-0.028785093582887722,10887552896.0,,,,0.02441928475935818,0.5,3.0,6
2025-01-30,AAPL,238.665,240.79,237.21,237.59,55658279.0,-0.007394719251336945,-0.007422195725416358,-0.01839303000968051,13223850507.61,,,,0.015067974241339993,0.6,3.0,5
2025-01-31,AAPL,247.19,247.19,233.44,236.0,101075128.0,-0.006692200850204166,-0.006714694035085955,-0.035466101694915264,23853730208.0,60014580.15,14007964773.154501,,0.058262711864406534,0.375,3.0,8
2025-02-03,AAPL,229.99,231.83,225.7,228.01,73063301.0,-0.033855932203389894,-0.03444231738385284,-0.0015788781193806223,16659163261.01,60880708.65,14161304073.4875,,0.026884785755010732,-0.5,-1.0,2
2025-02-04,AAPL,227.25,233.13,226.65,232.8,45067301.0,0.021007850532871464,0.020790228215525453,-0.000773195876288657,10491667672.800001,61121868.0,14196197077.9755,0.02000242184232485,0.027835051546391588,-1.0,-3.0,3
2025-02-05,AAPL,228.53,232.67,228.27,232.47,39664989.0,-0.0014175257731959823,-0.0014185314133143834,0.01892717339871819,9220919992.83,60852838.9,14105434832.866999,0.02000284670202463,0.018927173398717936,-0.3333333333333333,-1.0,3
2025-02-06,AAPL,231.285,233.8,230.425,233.22,29925349.0,0.003226222738417883,0.003221029648218021,0.035631592487779695,6979189893.78,60306308.35,13959608223.976002,0.019940822471814713,0.014471314638538657,0.3333333333333333,2.0,6
2025-02-07,AAPL,232.6,234.0,227.26,227.63,39707224.0,-0.023968784838350077,-0.024260710332889346,0.07455080613275933,9038555399.119999,60410222.55,13954908807.032001,0.020415457529475926,0.029609453938408734,0.375,3.0,8
