date,ticker,open,high,low,close,volume,ret_1d,logret_1d,fwd_ret_5d,dollar_volume,adv_shares_20d,adv_dollars_20d,vol_21d,hl_range,sent_mean,sent_sum,sent_count,alpha_trend,alpha_reversion,alpha_sentiment,regime,alpha_combined,liquidity_ok,target_weight_raw,exec_cost_bps,nav,position_weight,turnover,trade_cost,strategy_ret_1d
2025-01-03,AAPL,243.36,244.18,241.89,243.36,40244114.0,-0.002009432027885949,-0.002011453645079264,-0.036817882971729166,9793807583.04,,,,0.009409927679158494,0.2,1.0,5,,,,risk_on,,0,0.0,15.0,100000.0,0.0,0.0,0.0,0.0
2025-01-06,AAPL,244.31,247.33,243.2,245.0,45045571.0,0.006738987508218219,0.0067163820337450275,-0.0478367346938775,11036164895.0,,,,0.016857142857142886,0.25,1.0,4,,,,risk_on,,0,0.0,15.0,100000.0,0.0,0.0,0.0,0.0
2025-01-07,AAPL,242.98,245.55,241.35,242.21,40855960.0,-0.01138775510204082,-0.011453092086492589,-0.0179183353288469,9895722071.6,,,,0.01734032451178729,1.0,2.0,2,,,,risk_on,,0,0.0,15.0,100000.0,0.0,0.0,0.0,0.0
2025-01-08,AAPL,241.92,243.7123,240.05,242.7,37628940.0,0.0020230378597083654,0.0020209942743205644,-0.059497321796456504,9132543738.0,,,,0.015089822826534705,0.0,0.0,5,,,,risk_on,,0,0.0,15.0,100000.0,0.0,0.0,0.0,0.0
2025-01-10,AAPL,240.01,240.16,233.0,236.85,61710856.0,-0.02410383189122367,-0.024399083362794727,-0.029005699810006336,14616216243.6,,,,0.030230103440996272,0.0,0.0,2,,,,risk_on,,0,0.0,15.0,100000.0,0.0,0.0,0.0,0.0
2025-01-13,AAPL,233.53,234.67,229.72,234.4,49630725.0,-0.010344099641123039,-0.010397971666902706,-0.05017064846416386,11633441940.0,,,,0.021117747440272897,0.6666666666666666,2.0,3,,,,risk_on,,0,0.0,15.0,100000.0,0.0,0.0,0.0,0.0
2025-01-14,AAPL,234.75,236.12,232.472,233.28,39435294.0,-0.004778156996587013,-0.004789608882564522,-0.04050925925925919,9199465384.32,,,,0.015637860082304444,0.4,2.0,5,,,,risk_on,,0,0.0,15.0,100000.0,0.0,0.0,0.0,0.0
2025-01-15,AAPL,234.635,238.96,234.43,237.87,39831969.0,0.01967592592592604,0.01948485713212378,-0.059738512632950824,9474830466.03,,,,0.019044015638794223,0.25,1.0,4,,,,risk_on,,0,0.0,15.0,100000.0,0.0,0.0,0.0,0.0
2025-01-16,AAPL,237.35,238.01,228.03,228.26,71759052.0,-0.040400218606802096,-0.04123897582696312,-0.02400771050556383,16379721209.519999,,,,0.04372207132217623,0.2857142857142857,2.0,7,,,,risk_on,,0,0.0,15.0,100000.0,0.0,0.0,0.0,0.0
2025-01-17,AAPL,232.115,232.29,228.48,229.98,68488301.0,0.00753526680101646,0.007507018495064521,-0.0005217845030001111,15750939463.98,,,,0.016566657970258223,0.6666666666666666,2.0,3,,,,risk_on,,0,0.0,15.0,100000.0,0.0,0.0,0.0,0.0
2025-01-21,AAPL,224.0,224.42,219.38,222.64,98070429.0,-0.031915818766849346,-0.03243623140288321,0.07015810276679835,21834400312.559998,,,,0.02263744160977349,0.2,1.0,5,,,,risk_on,,0,0.0,15.0,100000.0,0.0,0.0,0.0,0.0
2025-01-22,AAPL,219.79,224.12,219.79,223.83,64126500.0,0.005344951491196737,0.005330717933897056,0.06938301389447354,14353434495.0,,,,0.019345038645400495,0.0,0.0,5,,,,risk_on,,0,0.0,15.0,100000.0,0.0,0.0,0.0,0.0
2025-01-23,AAPL,224.74,227.03,222.3,223.66,60234760.0,-0.0007595049814592691,-0.0007597935514898069,0.06228203523204878,13472106421.6,,,,0.021148171331485152,0.8,4.0,5,,,,risk_on,,0,0.0,15.0,100000.0,0.0,0.0,0.0,0.0
2025-01-24,AAPL,224.78,225.63,221.41,222.78,54697907.0,-0.003934543503532173,-0.0039423041829991234,0.05934105395457401,12185599721.460001,,,,0.018942454439357125,1.0,1.0,1,,,,risk_on,,0,0.0,15.0,100000.0,0.0,0.0,0.0,0.0
